"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11709","should verify footer links are present @regression","Chromium","Sat May 23 01:35:03 CEST 2026","failed","Sat May 23 01:35:14 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","30433","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Sat May 23 01:35:05 CEST 2026","broken","Sat May 23 01:35:36 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","29958","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Sat May 23 01:34:32 CEST 2026","failed","Sat May 23 01:35:02 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","10905","should create and delete a template, then verify it no longer appears @regression","Chromium","Sat May 23 01:35:01 CEST 2026","passed","Sat May 23 01:35:12 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","30360","should show validation errors when submitting empty user form @regression","Chromium","Sat May 23 01:36:40 CEST 2026","broken","Sat May 23 01:37:10 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","3524","should display error with invalid credentials @regression","Chromium","Sat May 23 01:34:55 CEST 2026","passed","Sat May 23 01:34:59 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","14644","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Sat May 23 01:34:32 CEST 2026","passed","Sat May 23 01:34:47 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","15458","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Sat May 23 01:34:32 CEST 2026","passed","Sat May 23 01:34:47 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30998","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Sat May 23 01:34:48 CEST 2026","broken","Sat May 23 01:35:19 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30380","should create a user, search by name, and verify result @regression","Chromium","Sat May 23 01:36:08 CEST 2026","broken","Sat May 23 01:36:39 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","23037","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Sat May 23 01:34:32 CEST 2026","failed","Sat May 23 01:34:55 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","12878","should create a tag, edit its value, and verify the update @regression","Chromium","Sat May 23 01:34:56 CEST 2026","passed","Sat May 23 01:35:09 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","30393","should navigate to password recovery page @regression","Chromium","Sat May 23 01:35:28 CEST 2026","broken","Sat May 23 01:35:58 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","30392","should edit an existing user name and verify the change @regression","Chromium","Sat May 23 01:37:11 CEST 2026","broken","Sat May 23 01:37:42 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","4731","should display error with empty username @regression","Chromium","Sat May 23 01:34:46 CEST 2026","passed","Sat May 23 01:34:51 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
