"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29358","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Thu May 14 16:56:14 CEST 2026","failed","Thu May 14 16:56:43 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","8191","should show validation errors when submitting empty user form @regression","Chromium","Thu May 14 16:57:41 CEST 2026","passed","Thu May 14 16:57:49 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","13940","should create a tag, edit its value, and verify the update @regression","Chromium","Thu May 14 16:56:42 CEST 2026","passed","Thu May 14 16:56:56 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","9069","should search for a non-existent template and verify no results @regression","Chromium","Thu May 14 16:56:34 CEST 2026","passed","Thu May 14 16:56:43 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","8474","should search for a non-existent user and verify no results @regression","Chromium","Thu May 14 16:57:21 CEST 2026","passed","Thu May 14 16:57:30 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","9956","should successfully login with valid credentials @smoke @regression","Chromium","Thu May 14 16:56:14 CEST 2026","passed","Thu May 14 16:56:24 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","22117","should edit an existing user name and verify the change @regression","Chromium","Thu May 14 16:57:49 CEST 2026","failed","Thu May 14 16:58:12 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","3317","should toggle password visibility @regression","Chromium","Thu May 14 16:57:00 CEST 2026","passed","Thu May 14 16:57:04 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","2516","should navigate to password recovery page @regression","Chromium","Thu May 14 16:56:58 CEST 2026","passed","Thu May 14 16:57:00 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","3674","should display error with invalid credentials @regression","Chromium","Thu May 14 16:56:41 CEST 2026","passed","Thu May 14 16:56:45 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","3816","should verify footer links are present @regression","Chromium","Thu May 14 16:56:49 CEST 2026","passed","Thu May 14 16:56:53 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","4536","should have all required appointment access elements visible @smoke","Chromium","Thu May 14 16:56:53 CEST 2026","passed","Thu May 14 16:56:58 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","11649","should load home page after successful login @smoke","Chromium","Thu May 14 16:56:14 CEST 2026","passed","Thu May 14 16:56:25 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","30403","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Thu May 14 16:56:50 CEST 2026","broken","Thu May 14 16:57:20 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","6427","should display error with empty credentials @regression","Chromium","Thu May 14 16:56:24 CEST 2026","passed","Thu May 14 16:56:31 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
