"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9074","should verify footer links are present @regression","Chromium","Thu Apr 23 12:17:30 CEST 2026","failed","Thu Apr 23 12:17:39 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","30487","should create and delete a template, then verify it no longer appears @regression","Chromium","Thu Apr 23 12:17:30 CEST 2026","broken","Thu Apr 23 12:18:01 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","30410","should toggle password visibility @regression","Chromium","Thu Apr 23 12:18:22 CEST 2026","broken","Thu Apr 23 12:18:53 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","13767","should load home page after successful login @smoke","Chromium","Thu Apr 23 12:16:53 CEST 2026","passed","Thu Apr 23 12:17:07 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","13691","should successfully login with valid credentials @smoke @regression","Chromium","Thu Apr 23 12:16:53 CEST 2026","passed","Thu Apr 23 12:17:07 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","18390","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Thu Apr 23 12:16:53 CEST 2026","passed","Thu Apr 23 12:17:12 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","8205","should have all required appointment access elements visible @smoke","Chromium","Thu Apr 23 12:17:41 CEST 2026","failed","Thu Apr 23 12:17:49 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","31267","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Thu Apr 23 12:16:53 CEST 2026","failed","Thu Apr 23 12:17:25 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","14491","should create a tag, edit its value, and verify the update @regression","Chromium","Thu Apr 23 12:17:25 CEST 2026","passed","Thu Apr 23 12:17:40 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","16169","should create and delete an institution, then verify it no longer appears @regression","Chromium","Thu Apr 23 12:17:24 CEST 2026","passed","Thu Apr 23 12:17:40 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
