"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9667","Verify user is able to deactivate password expiration @XR-3054 @smoke @regression","Chromium","Wed Aug 05 22:28:29 CEST 2026","passed","Wed Aug 05 22:28:38 CEST 2026","Password Expiration Settings","tests\users\passwordExpiration.spec.ts","",""
"","11856","should select Català language on the /login screen and display content properly @regression","Chromium","Wed Aug 05 22:31:33 CEST 2026","failed","Wed Aug 05 22:31:45 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","20074","should successfully login with valid credentials @smoke @regression","Chromium","Wed Aug 05 22:28:04 CEST 2026","failed","Wed Aug 05 22:28:24 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","1446","should have all required login elements visible @smoke","Chromium","Wed Aug 05 22:29:57 CEST 2026","passed","Wed Aug 05 22:29:58 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","22448","Verify user cannot send message to support without populating Surname field @XR-3087 @smoke @regression","Chromium","Wed Aug 05 22:28:29 CEST 2026","failed","Wed Aug 05 22:28:51 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","11922","should select English language on the /login screen and display content properly @regression","Chromium","Wed Aug 05 22:32:14 CEST 2026","failed","Wed Aug 05 22:32:25 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","30478","should toggle password visibility @regression","Chromium","Wed Aug 05 22:30:47 CEST 2026","broken","Wed Aug 05 22:31:18 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","12097","should select Galego language on the /login screen and display content properly @regression","Chromium","Wed Aug 05 22:31:46 CEST 2026","failed","Wed Aug 05 22:31:59 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","18990","Verify user cannot send message to support without populating Name field @XR-3086 @smoke @regression","Chromium","Wed Aug 05 22:28:04 CEST 2026","failed","Wed Aug 05 22:28:23 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","16065","should create and delete a template, then verify it no longer appears @regression","Chromium","Wed Aug 05 22:28:37 CEST 2026","passed","Wed Aug 05 22:28:53 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","7990","should have all required appointment access elements visible @smoke","Chromium","Wed Aug 05 22:30:06 CEST 2026","failed","Wed Aug 05 22:30:14 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","18692","should create a user, search by name, and verify result @regression","Chromium","Wed Aug 05 22:29:43 CEST 2026","failed","Wed Aug 05 22:30:02 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","30454","should navigate to password recovery page @regression","Chromium","Wed Aug 05 22:30:16 CEST 2026","broken","Wed Aug 05 22:30:46 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","7713","should search for a non-existent user and verify no results @regression","Chromium","Wed Aug 05 22:29:36 CEST 2026","passed","Wed Aug 05 22:29:43 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","1129","Verify scroll is removed from login page @XR-3083 @smoke @regression","Chromium","Wed Aug 05 22:32:52 CEST 2026","passed","Wed Aug 05 22:32:54 CEST 2026","LoginPage - Scroll Tests","tests\loginTests.spec.ts","",""
"","16875","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Wed Aug 05 22:28:04 CEST 2026","passed","Wed Aug 05 22:28:21 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","19297","should display error with empty password @regression","Chromium","Wed Aug 05 22:29:15 CEST 2026","failed","Wed Aug 05 22:29:34 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","21733","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Wed Aug 05 22:28:04 CEST 2026","passed","Wed Aug 05 22:28:26 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","19290","should display error with invalid credentials @regression","Chromium","Wed Aug 05 22:29:36 CEST 2026","failed","Wed Aug 05 22:29:55 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","2631","authenticate","setup","Wed Aug 05 22:28:00 CEST 2026","passed","Wed Aug 05 22:28:02 CEST 2026","","tests\auth.setup.ts","",""
"","15883","should search for a non-existent tag and verify no results @regression","Chromium","Wed Aug 05 22:28:21 CEST 2026","passed","Wed Aug 05 22:28:37 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","16976","Verify user cannot send message to support without populating Email field @XR-3088 @smoke @regression","Chromium","Wed Aug 05 22:28:54 CEST 2026","failed","Wed Aug 05 22:29:11 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","21355","should display error with empty credentials @regression","Chromium","Wed Aug 05 22:28:29 CEST 2026","failed","Wed Aug 05 22:28:50 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","7589","should show validation errors when submitting empty user form @regression","Chromium","Wed Aug 05 22:30:04 CEST 2026","passed","Wed Aug 05 22:30:11 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","5451","should load home page after successful login @smoke","Chromium","Wed Aug 05 22:28:04 CEST 2026","passed","Wed Aug 05 22:28:10 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","13435","Verify user is able to activate password expiration @XR-3055 @smoke @regression","Chromium","Wed Aug 05 22:28:38 CEST 2026","passed","Wed Aug 05 22:28:52 CEST 2026","Password Expiration Settings","tests\users\passwordExpiration.spec.ts","",""
"","11833","should select Valencià language on the /login screen and display content properly @regression","Chromium","Wed Aug 05 22:32:27 CEST 2026","failed","Wed Aug 05 22:32:39 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","11685","should select Italiano language on the /login screen and display content properly @regression","Chromium","Wed Aug 05 22:32:40 CEST 2026","failed","Wed Aug 05 22:32:51 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
