"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4186","should display error with empty password @regression","Chromium","Fri Jul 24 01:36:04 CEST 2026","passed","Fri Jul 24 01:36:09 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","5202","should display error with empty credentials @regression","Chromium","Fri Jul 24 01:35:55 CEST 2026","passed","Fri Jul 24 01:36:00 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","26106","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Fri Jul 24 01:36:02 CEST 2026","passed","Fri Jul 24 01:36:28 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","10618","should search for a non-existent template and verify no results @regression","Chromium","Fri Jul 24 01:36:04 CEST 2026","passed","Fri Jul 24 01:36:15 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","19252","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:36:02 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30632","should create and delete a template, then verify it no longer appears @regression","Chromium","Fri Jul 24 01:36:15 CEST 2026","broken","Fri Jul 24 01:36:45 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","4226","should display error with empty username @regression","Chromium","Fri Jul 24 01:36:00 CEST 2026","passed","Fri Jul 24 01:36:04 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","30385","should show validation errors when submitting empty user form @regression","Chromium","Fri Jul 24 01:37:27 CEST 2026","broken","Fri Jul 24 01:37:57 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","30371","should create a user, search by name, and verify result @regression","Chromium","Fri Jul 24 01:36:55 CEST 2026","broken","Fri Jul 24 01:37:26 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","16954","should search for a non-existent tag and verify no results @regression","Chromium","Fri Jul 24 01:35:58 CEST 2026","passed","Fri Jul 24 01:36:15 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","30640","should create a tag, edit its value, and verify the update @regression","Chromium","Fri Jul 24 01:36:15 CEST 2026","broken","Fri Jul 24 01:36:45 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","30372","should navigate to password recovery page @regression","Chromium","Fri Jul 24 01:37:00 CEST 2026","broken","Fri Jul 24 01:37:31 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","30401","should create and delete an institution, then verify it no longer appears @regression","Chromium","Fri Jul 24 01:36:44 CEST 2026","broken","Fri Jul 24 01:37:14 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30404","should search for a non-existent user and verify no results @regression","Chromium","Fri Jul 24 01:36:24 CEST 2026","broken","Fri Jul 24 01:36:54 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","30488","should search for a non-existent institution and verify no results @regression","Chromium","Fri Jul 24 01:36:12 CEST 2026","broken","Fri Jul 24 01:36:42 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","11931","should load home page after successful login @smoke","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:35:54 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","26308","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","failed","Fri Jul 24 01:36:09 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","21685","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Fri Jul 24 01:36:00 CEST 2026","failed","Fri Jul 24 01:36:22 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","15077","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:35:58 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","6016","should display profile icon on home page @smoke @regression","Chromium","Fri Jul 24 01:35:55 CEST 2026","passed","Fri Jul 24 01:36:01 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","7862","should have all required appointment access elements visible @smoke","Chromium","Fri Jul 24 01:36:52 CEST 2026","failed","Fri Jul 24 01:36:59 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","4818","should have accessible profile dropdown @regression","Chromium","Fri Jul 24 01:36:01 CEST 2026","passed","Fri Jul 24 01:36:06 CEST 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","30480","should display error with invalid credentials @regression","Chromium","Fri Jul 24 01:36:09 CEST 2026","broken","Fri Jul 24 01:36:39 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","30355","should edit an existing user name and verify the change @regression","Chromium","Fri Jul 24 01:37:58 CEST 2026","broken","Fri Jul 24 01:38:29 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","7494","should verify footer links are present @regression","Chromium","Fri Jul 24 01:36:43 CEST 2026","failed","Fri Jul 24 01:36:51 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","30385","should toggle password visibility @regression","Chromium","Fri Jul 24 01:37:32 CEST 2026","broken","Fri Jul 24 01:38:02 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","2541","should have all required login elements visible @smoke","Chromium","Fri Jul 24 01:36:40 CEST 2026","passed","Fri Jul 24 01:36:43 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","17619","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:36:00 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","12299","should successfully login with valid credentials @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:35:55 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","21389","should create a new template and verify it appears in the list @smoke @regression","Chromium","Fri Jul 24 01:35:42 CEST 2026","passed","Fri Jul 24 01:36:04 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
