"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10835","The user is able to change the Name - Users settings section @smoke @regression @XR-1630","Chromium","Tue Aug 18 17:06:08 UTC 2026","passed","Tue Aug 18 17:06:19 UTC 2026","Users - Edit User Tests","tests/users/usersTests.spec.ts","",""
"","30553","should toggle password visibility @regression","Chromium","Tue Aug 18 17:06:35 UTC 2026","broken","Tue Aug 18 17:07:06 UTC 2026","LoginPage - Password Visibility Tests","tests/loginTests.spec.ts","",""
"","10226","The user is able to change the Language to Catala @smoke @regression @XR-2541","Chromium","Tue Aug 18 17:07:10 UTC 2026","passed","Tue Aug 18 17:07:21 UTC 2026","Users - Edit Language Tests","tests/users/usersTests.spec.ts","",""
"","6994","should verify footer links are present @regression","Chromium","Tue Aug 18 17:05:05 UTC 2026","failed","Tue Aug 18 17:05:12 UTC 2026","LoginPage - UI Tests","tests/loginTests.spec.ts","",""
"","11180","The user is able to change the Language to English - Users settings section @smoke @regression @XR-1634","Chromium","Tue Aug 18 17:06:49 UTC 2026","passed","Tue Aug 18 17:07:00 UTC 2026","Users - Edit User Tests","tests/users/usersTests.spec.ts","",""
"","19546","should create a tag, edit its value, and verify the update @regression","Chromium","Tue Aug 18 17:04:34 UTC 2026","passed","Tue Aug 18 17:04:53 UTC 2026","Templates - Tags Edit Tests","tests/templates/tagsTests.spec.ts","",""
"","15132","Verify user cannot access appointment with invalid ID @XR-2281 @smoke @regression","Chromium","Tue Aug 18 17:03:11 UTC 2026","passed","Tue Aug 18 17:03:26 UTC 2026","Appointment Login - Access Validation Tests","tests/appointments/appointmentLoginTests.spec.ts","",""
"","17908","should have all required appointment access elements visible @smoke","Chromium","Tue Aug 18 17:05:13 UTC 2026","failed","Tue Aug 18 17:05:31 UTC 2026","LoginPage - UI Tests","tests/loginTests.spec.ts","",""
"","9043","The user is able to view Email field is disabled - Users settings section @smoke @regression @XR-1632","Chromium","Tue Aug 18 17:06:30 UTC 2026","passed","Tue Aug 18 17:06:39 UTC 2026","Users - Edit User Tests","tests/users/usersTests.spec.ts","",""
"","22122","should display error with empty password @regression","Chromium","Tue Aug 18 17:04:10 UTC 2026","failed","Tue Aug 18 17:04:32 UTC 2026","LoginPage - Validation Tests","tests/loginTests.spec.ts","",""
"","10202","The user is able to change the Language to Italiano @smoke @regression @XR-2540","Chromium","Tue Aug 18 17:07:00 UTC 2026","passed","Tue Aug 18 17:07:10 UTC 2026","Users - Edit Language Tests","tests/users/usersTests.spec.ts","",""
"","22545","Create appointment via API and verify in UI by appointment ID @XR-API-APPOINTMENT","Chromium","Tue Aug 18 17:03:11 UTC 2026","passed","Tue Aug 18 17:03:33 UTC 2026","OVAC Appointment API Creation & UI Verification","tests/appointments/apiCreateAppointmentTest.spec.ts","",""
"","10897","The user is able to change the Surname - Users settings section @smoke @regression @XR-1631","Chromium","Tue Aug 18 17:06:19 UTC 2026","passed","Tue Aug 18 17:06:30 UTC 2026","Users - Edit User Tests","tests/users/usersTests.spec.ts","",""
"","7728","Verify user is able to activate password expiration @XR-3055 @smoke @regression","Chromium","Tue Aug 18 17:04:53 UTC 2026","passed","Tue Aug 18 17:05:01 UTC 2026","Password Expiration Settings","tests/users/passwordExpiration.spec.ts","",""
"","12285","should select Valencià language on the /login screen and display content properly @regression","Chromium","Tue Aug 18 17:08:14 UTC 2026","failed","Tue Aug 18 17:08:26 UTC 2026","LoginPage - Language Selection Tests","tests/loginTests.spec.ts","",""
"","9964","The user is able to change the Phone - Users settings section @smoke @regression @XR-1633","Chromium","Tue Aug 18 17:06:39 UTC 2026","passed","Tue Aug 18 17:06:49 UTC 2026","Users - Edit User Tests","tests/users/usersTests.spec.ts","",""
"","10383","should display error with empty credentials @regression","Chromium","Tue Aug 18 17:03:30 UTC 2026","passed","Tue Aug 18 17:03:41 UTC 2026","LoginPage - Validation Tests","tests/loginTests.spec.ts","",""
"","20089","should search for a non-existent tag and verify no results @regression","Chromium","Tue Aug 18 17:04:13 UTC 2026","passed","Tue Aug 18 17:04:33 UTC 2026","Templates - Tags Search Tests","tests/templates/tagsTests.spec.ts","",""
"","24330","Verify user cannot access appointment with invalid code @XR-2284 @smoke @regression","Chromium","Tue Aug 18 17:03:41 UTC 2026","failed","Tue Aug 18 17:04:05 UTC 2026","Appointment Login - Access Validation Tests","tests/appointments/appointmentLoginTests.spec.ts","",""
"","12718","should select Galego language on the /login screen and display content properly @regression","Chromium","Tue Aug 18 17:07:34 UTC 2026","failed","Tue Aug 18 17:07:46 UTC 2026","LoginPage - Language Selection Tests","tests/loginTests.spec.ts","",""
"","23597","should display error with empty username @regression","Chromium","Tue Aug 18 17:03:41 UTC 2026","failed","Tue Aug 18 17:04:04 UTC 2026","LoginPage - Validation Tests","tests/loginTests.spec.ts","",""
"","25458","should create and delete an institution, then verify it no longer appears @regression","Chromium","Tue Aug 18 17:03:54 UTC 2026","passed","Tue Aug 18 17:04:20 UTC 2026","Institutions - Full Lifecycle Tests","tests/institutions/institutionsTests.spec.ts","",""
"","23614","Verify user cannot access appointment with invalid ID, reference number or code @XR-2281 @XR-2282 @XR-2284 @regression","Chromium","Tue Aug 18 17:04:10 UTC 2026","failed","Tue Aug 18 17:04:33 UTC 2026","Appointment Login - Access Validation Tests","tests/appointments/appointmentLoginTests.spec.ts","",""
"","30411","should navigate to password recovery page @regression","Chromium","Tue Aug 18 17:06:04 UTC 2026","broken","Tue Aug 18 17:06:34 UTC 2026","LoginPage - Password Recovery Tests","tests/loginTests.spec.ts","",""
"","19200","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Tue Aug 18 17:05:08 UTC 2026","failed","Tue Aug 18 17:05:27 UTC 2026","Users - Add User Tests","tests/users/usersTests.spec.ts","",""
"","12434","should select Español language on the /login screen and display content properly @XR-3038","Chromium","Tue Aug 18 17:07:07 UTC 2026","failed","Tue Aug 18 17:07:19 UTC 2026","LoginPage - Language Selection Tests","tests/loginTests.spec.ts","",""
"","20209","Verify user cannot send message to support without populating Email field @XR-3088 @smoke @regression","Chromium","Tue Aug 18 17:04:30 UTC 2026","failed","Tue Aug 18 17:04:50 UTC 2026","Send Message to Support - Validation","tests/support/sendMessageToSupport.spec.ts","",""
