"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9284","should load home page after successful login @smoke","Chromium","Thu Mar 19 01:31:27 CET 2026","passed","Thu Mar 19 01:31:37 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","17460","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Thu Mar 19 01:31:27 CET 2026","passed","Thu Mar 19 01:31:45 CET 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","20977","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Thu Mar 19 01:31:43 CET 2026","passed","Thu Mar 19 01:32:04 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","27457","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Thu Mar 19 01:31:27 CET 2026","failed","Thu Mar 19 01:31:55 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","13239","should create and delete an institution, then verify it no longer appears @regression","Chromium","Thu Mar 19 01:31:56 CET 2026","passed","Thu Mar 19 01:32:09 CET 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","6299","should display error with empty password @regression","Chromium","Thu Mar 19 01:31:46 CET 2026","passed","Thu Mar 19 01:31:53 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","9959","should search for a non-existent user and verify no results @regression","Chromium","Thu Mar 19 01:32:21 CET 2026","passed","Thu Mar 19 01:32:31 CET 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","7647","should search for a non-existent institution and verify no results @regression","Chromium","Thu Mar 19 01:31:48 CET 2026","passed","Thu Mar 19 01:31:56 CET 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","3339","should display error with invalid credentials @regression","Chromium","Thu Mar 19 01:31:53 CET 2026","passed","Thu Mar 19 01:31:56 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","22185","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Thu Mar 19 01:31:57 CET 2026","failed","Thu Mar 19 01:32:19 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
