"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30385","should create and delete a template, then verify it no longer appears @regression","Chromium","Fri May 22 01:35:35 CEST 2026","broken","Fri May 22 01:36:05 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","4300","should have all required appointment access elements visible @smoke","Chromium","Fri May 22 01:35:42 CEST 2026","passed","Fri May 22 01:35:47 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","31276","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Fri May 22 01:35:17 CEST 2026","broken","Fri May 22 01:35:48 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30388","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Fri May 22 01:35:34 CEST 2026","broken","Fri May 22 01:36:05 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","15333","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","passed","Fri May 22 01:35:17 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","8658","should search for a non-existent tag and verify no results @regression","Chromium","Fri May 22 01:35:18 CEST 2026","passed","Fri May 22 01:35:26 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","3509","should display error with invalid credentials @regression","Chromium","Fri May 22 01:35:27 CEST 2026","passed","Fri May 22 01:35:31 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","7979","should show validation errors when submitting empty user form @regression","Chromium","Fri May 22 01:36:25 CEST 2026","passed","Fri May 22 01:36:33 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","3566","should display error with empty username @regression","Chromium","Fri May 22 01:35:19 CEST 2026","passed","Fri May 22 01:35:23 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","12492","should create a tag, edit its value, and verify the update @regression","Chromium","Fri May 22 01:35:26 CEST 2026","passed","Fri May 22 01:35:39 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","3010","should navigate to password recovery page @regression","Chromium","Fri May 22 01:35:47 CEST 2026","passed","Fri May 22 01:35:50 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","6387","should display error with empty credentials @regression","Chromium","Fri May 22 01:35:13 CEST 2026","passed","Fri May 22 01:35:19 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","14805","should search for a non-existent template and verify no results @regression","Chromium","Fri May 22 01:35:20 CEST 2026","passed","Fri May 22 01:35:35 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","10623","should load home page after successful login @smoke","Chromium","Fri May 22 01:35:02 CEST 2026","passed","Fri May 22 01:35:12 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","14728","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","passed","Fri May 22 01:35:17 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","7468","should verify footer links are present @regression","Chromium","Fri May 22 01:35:34 CEST 2026","failed","Fri May 22 01:35:41 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","18574","should search for a non-existent institution and verify no results @regression","Chromium","Fri May 22 01:35:26 CEST 2026","failed","Fri May 22 01:35:44 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","8396","should search for a non-existent user and verify no results @regression","Chromium","Fri May 22 01:36:06 CEST 2026","passed","Fri May 22 01:36:14 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","16073","should create and delete an institution, then verify it no longer appears @regression","Chromium","Fri May 22 01:35:46 CEST 2026","failed","Fri May 22 01:36:02 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","5606","should have accessible profile dropdown @regression","Chromium","Fri May 22 01:35:18 CEST 2026","passed","Fri May 22 01:35:24 CEST 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","4263","should display error with empty password @regression","Chromium","Fri May 22 01:35:23 CEST 2026","passed","Fri May 22 01:35:27 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","10587","should successfully login with valid credentials @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","passed","Fri May 22 01:35:12 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","10843","should create a user, search by name, and verify result @regression","Chromium","Fri May 22 01:36:14 CEST 2026","passed","Fri May 22 01:36:25 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","5272","should display profile icon on home page @smoke @regression","Chromium","Fri May 22 01:35:13 CEST 2026","passed","Fri May 22 01:35:18 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","2789","should toggle password visibility @regression","Chromium","Fri May 22 01:35:50 CEST 2026","passed","Fri May 22 01:35:53 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","21011","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","failed","Fri May 22 01:35:23 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","17813","should create a new template and verify it appears in the list @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","passed","Fri May 22 01:35:20 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","3021","should have all required login elements visible @smoke","Chromium","Fri May 22 01:35:31 CEST 2026","passed","Fri May 22 01:35:34 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","29319","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Fri May 22 01:35:02 CEST 2026","failed","Fri May 22 01:35:31 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","21931","should edit an existing user name and verify the change @regression","Chromium","Fri May 22 01:36:33 CEST 2026","failed","Fri May 22 01:36:55 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
