"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3971","should display error with empty username @regression","Chromium","Thu Jun 04 01:34:01 CEST 2026","passed","Thu Jun 04 01:34:05 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","23664","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Thu Jun 04 01:33:47 CEST 2026","failed","Thu Jun 04 01:34:11 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30386","should toggle password visibility @regression","Chromium","Thu Jun 04 01:35:07 CEST 2026","broken","Thu Jun 04 01:35:37 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","30405","should create and delete an institution, then verify it no longer appears @regression","Chromium","Thu Jun 04 01:34:45 CEST 2026","broken","Thu Jun 04 01:35:16 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30384","should create a user, search by name, and verify result @regression","Chromium","Thu Jun 04 01:35:22 CEST 2026","broken","Thu Jun 04 01:35:52 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","8780","should load home page after successful login @smoke","Chromium","Thu Jun 04 01:33:47 CEST 2026","passed","Thu Jun 04 01:33:56 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","21613","should create a new template and verify it appears in the list @smoke @regression","Chromium","Thu Jun 04 01:33:47 CEST 2026","passed","Thu Jun 04 01:34:09 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","4397","should display error with empty password @regression","Chromium","Thu Jun 04 01:34:05 CEST 2026","passed","Thu Jun 04 01:34:09 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","4326","should display error with empty credentials @regression","Chromium","Thu Jun 04 01:33:56 CEST 2026","passed","Thu Jun 04 01:34:01 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","30512","should search for a non-existent institution and verify no results @regression","Chromium","Thu Jun 04 01:34:13 CEST 2026","broken","Thu Jun 04 01:34:44 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","8317","should have all required appointment access elements visible @smoke","Chromium","Thu Jun 04 01:34:26 CEST 2026","failed","Thu Jun 04 01:34:34 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","5177","should have accessible profile dropdown @regression","Chromium","Thu Jun 04 01:34:01 CEST 2026","passed","Thu Jun 04 01:34:07 CEST 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","9003","should search for a non-existent template and verify no results @regression","Chromium","Thu Jun 04 01:34:09 CEST 2026","passed","Thu Jun 04 01:34:18 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","8779","should successfully login with valid credentials @smoke @regression","Chromium","Thu Jun 04 01:33:47 CEST 2026","passed","Thu Jun 04 01:33:56 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","30423","should navigate to password recovery page @regression","Chromium","Thu Jun 04 01:34:35 CEST 2026","broken","Thu Jun 04 01:35:06 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","30453","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Thu Jun 04 01:34:18 CEST 2026","broken","Thu Jun 04 01:34:49 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","3533","should display error with invalid credentials @regression","Chromium","Thu Jun 04 01:34:09 CEST 2026","passed","Thu Jun 04 01:34:12 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","21954","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Thu Jun 04 01:34:08 CEST 2026","passed","Thu Jun 04 01:34:30 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30437","should create and delete a template, then verify it no longer appears @regression","Chromium","Thu Jun 04 01:34:18 CEST 2026","broken","Thu Jun 04 01:34:48 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
