"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24601","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Wed Mar 11 01:32:27 CET 2026","passed","Wed Mar 11 01:32:51 CET 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","6541","should display error with empty credentials @regression","Chromium","Wed Mar 11 01:32:40 CET 2026","passed","Wed Mar 11 01:32:47 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","13140","should successfully login with valid credentials @smoke @regression","Chromium","Wed Mar 11 01:32:26 CET 2026","passed","Wed Mar 11 01:32:40 CET 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","13137","should load home page after successful login @smoke","Chromium","Wed Mar 11 01:32:26 CET 2026","passed","Wed Mar 11 01:32:40 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","5263","should display error with empty username @regression","Chromium","Wed Mar 11 01:32:47 CET 2026","passed","Wed Mar 11 01:32:52 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","5472","should have accessible profile dropdown @regression","Chromium","Wed Mar 11 01:32:49 CET 2026","passed","Wed Mar 11 01:32:55 CET 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","2611","should have all required login elements visible @smoke","Chromium","Wed Mar 11 01:32:59 CET 2026","passed","Wed Mar 11 01:33:02 CET 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","8883","should display profile icon on home page @smoke @regression","Chromium","Wed Mar 11 01:32:40 CET 2026","passed","Wed Mar 11 01:32:49 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","4034","should display error with empty password @regression","Chromium","Wed Mar 11 01:32:52 CET 2026","passed","Wed Mar 11 01:32:56 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","18731","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Wed Mar 11 01:32:49 CET 2026","passed","Wed Mar 11 01:33:08 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","21703","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Wed Mar 11 01:32:26 CET 2026","passed","Wed Mar 11 01:32:48 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","31228","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Wed Mar 11 01:32:26 CET 2026","broken","Wed Mar 11 01:32:58 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","26179","should create a new template and verify it appears in the list @smoke @regression","Chromium","Wed Mar 11 01:32:26 CET 2026","passed","Wed Mar 11 01:32:53 CET 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","2977","should display error with invalid credentials @regression","Chromium","Wed Mar 11 01:32:56 CET 2026","passed","Wed Mar 11 01:32:59 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","25608","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Wed Mar 11 01:32:26 CET 2026","passed","Wed Mar 11 01:32:52 CET 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
