"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17492","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Fri Aug 07 12:21:58 CEST 2026","failed","Fri Aug 07 12:22:16 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","4476","should have all required appointment access elements visible @smoke","Chromium","Fri Aug 07 12:22:32 CEST 2026","passed","Fri Aug 07 12:22:37 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","15900","should search for a non-existent template and verify no results @regression","Chromium","Fri Aug 07 12:22:24 CEST 2026","failed","Fri Aug 07 12:22:40 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","16319","should search for a non-existent tag and verify no results @regression","Chromium","Fri Aug 07 12:22:19 CEST 2026","failed","Fri Aug 07 12:22:36 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","3719","Verify user cannot send message to support without populating Email field @XR-3088 @smoke @regression","Chromium","Fri Aug 07 12:22:10 CEST 2026","passed","Fri Aug 07 12:22:14 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","1392","authenticate","setup","Fri Aug 07 12:21:55 CEST 2026","passed","Fri Aug 07 12:21:57 CEST 2026","","tests\auth.setup.ts","",""
"","1090","Verify scroll is removed from login page @XR-3083 @smoke @regression","Chromium","Fri Aug 07 12:23:10 CEST 2026","passed","Fri Aug 07 12:23:11 CEST 2026","LoginPage - Scroll Tests","tests\loginTests.spec.ts","",""
"","15168","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Fri Aug 07 12:22:37 CEST 2026","failed","Fri Aug 07 12:22:52 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","3864","Verify user cannot send message to support without populating Surname field @XR-3087 @smoke @regression","Chromium","Fri Aug 07 12:22:06 CEST 2026","passed","Fri Aug 07 12:22:10 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","4005","should have accessible profile dropdown @regression","Chromium","Fri Aug 07 12:22:29 CEST 2026","passed","Fri Aug 07 12:22:33 CEST 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","20253","Verify user is able to deactivate password expiration @XR-3054 @smoke @regression","Chromium","Fri Aug 07 12:22:14 CEST 2026","failed","Fri Aug 07 12:22:34 CEST 2026","Password Expiration Settings","tests\users\passwordExpiration.spec.ts","",""
"","14260","should edit an existing user name and verify the change @regression","Chromium","Fri Aug 07 12:23:41 CEST 2026","failed","Fri Aug 07 12:23:55 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","14521","should search for a non-existent user and verify no results @regression","Chromium","Fri Aug 07 12:22:54 CEST 2026","failed","Fri Aug 07 12:23:09 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","7654","Verify user cannot send message to support without populating Name field @XR-3086 @smoke @regression","Chromium","Fri Aug 07 12:21:58 CEST 2026","passed","Fri Aug 07 12:22:06 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","2453","should have all required login elements visible @smoke","Chromium","Fri Aug 07 12:22:25 CEST 2026","passed","Fri Aug 07 12:22:28 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","4715","should select Español language on the /login screen and display content properly @XR-3038","Chromium","Fri Aug 07 12:22:43 CEST 2026","passed","Fri Aug 07 12:22:48 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","8733","should successfully login with valid credentials @smoke @regression","Chromium","Fri Aug 07 12:21:58 CEST 2026","passed","Fri Aug 07 12:22:07 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","1","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Fri Aug 07 12:22:18 CEST 2026","skipped","Fri Aug 07 12:22:18 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","3924","should select Català language on the /login screen and display content properly @regression","Chromium","Fri Aug 07 12:22:48 CEST 2026","passed","Fri Aug 07 12:22:52 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","16340","should create a tag, edit its value, and verify the update @regression","Chromium","Fri Aug 07 12:22:38 CEST 2026","failed","Fri Aug 07 12:22:54 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","15885","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Fri Aug 07 12:22:19 CEST 2026","failed","Fri Aug 07 12:22:35 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","4297","should select Italiano language on the /login screen and display content properly @regression","Chromium","Fri Aug 07 12:23:06 CEST 2026","passed","Fri Aug 07 12:23:10 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","25900","should load home page after successful login @smoke","Chromium","Fri Aug 07 12:21:58 CEST 2026","failed","Fri Aug 07 12:22:24 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","13935","should create a user, search by name, and verify result @regression","Chromium","Fri Aug 07 12:23:11 CEST 2026","failed","Fri Aug 07 12:23:25 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","4244","should display error with empty username @regression","Chromium","Fri Aug 07 12:22:12 CEST 2026","passed","Fri Aug 07 12:22:16 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","4898","should display error with invalid credentials @regression","Chromium","Fri Aug 07 12:22:20 CEST 2026","passed","Fri Aug 07 12:22:25 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","4530","should verify footer links are present @regression","Chromium","Fri Aug 07 12:22:28 CEST 2026","passed","Fri Aug 07 12:22:32 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","3930","should select Valencià language on the /login screen and display content properly @regression","Chromium","Fri Aug 07 12:23:02 CEST 2026","passed","Fri Aug 07 12:23:06 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","14007","should create and delete a template, then verify it no longer appears @regression","Chromium","Fri Aug 07 12:22:43 CEST 2026","failed","Fri Aug 07 12:22:57 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","2802","should select English language on the /login screen and display content properly @regression","Chromium","Fri Aug 07 12:22:59 CEST 2026","passed","Fri Aug 07 12:23:02 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
