"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5021","should display error with empty password @regression","Chromium","Tue Mar 24 01:32:21 CET 2026","passed","Tue Mar 24 01:32:26 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","7073","should display error with empty credentials @regression","Chromium","Tue Mar 24 01:32:07 CET 2026","passed","Tue Mar 24 01:32:14 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","11086","should create a user, search by name, and verify result @regression","Chromium","Tue Mar 24 01:33:04 CET 2026","passed","Tue Mar 24 01:33:15 CET 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","22052","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Tue Mar 24 01:31:53 CET 2026","passed","Tue Mar 24 01:32:15 CET 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","2839","should toggle password visibility @regression","Chromium","Tue Mar 24 01:32:41 CET 2026","passed","Tue Mar 24 01:32:44 CET 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","14275","should create and delete an institution, then verify it no longer appears @regression","Chromium","Tue Mar 24 01:32:25 CET 2026","passed","Tue Mar 24 01:32:39 CET 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","22495","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Tue Mar 24 01:31:53 CET 2026","passed","Tue Mar 24 01:32:15 CET 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","2089","should have all required login elements visible @smoke","Chromium","Tue Mar 24 01:32:31 CET 2026","passed","Tue Mar 24 01:32:33 CET 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","14849","should create and delete a template, then verify it no longer appears @regression","Chromium","Tue Mar 24 01:32:26 CET 2026","passed","Tue Mar 24 01:32:41 CET 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","22048","should edit an existing user name and verify the change @regression","Chromium","Tue Mar 24 01:33:24 CET 2026","failed","Tue Mar 24 01:33:46 CET 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","11156","should display profile icon on home page @smoke @regression","Chromium","Tue Mar 24 01:32:04 CET 2026","passed","Tue Mar 24 01:32:16 CET 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","20932","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Tue Mar 24 01:31:53 CET 2026","passed","Tue Mar 24 01:32:13 CET 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","32645","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Tue Mar 24 01:31:53 CET 2026","broken","Tue Mar 24 01:32:25 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","8068","should show validation errors when submitting empty user form @regression","Chromium","Tue Mar 24 01:33:16 CET 2026","passed","Tue Mar 24 01:33:24 CET 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","7577","should display error with empty username @regression","Chromium","Tue Mar 24 01:32:14 CET 2026","passed","Tue Mar 24 01:32:21 CET 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","11220","should have accessible profile dropdown @regression","Chromium","Tue Mar 24 01:32:16 CET 2026","passed","Tue Mar 24 01:32:27 CET 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","13234","should create a tag, edit its value, and verify the update @regression","Chromium","Tue Mar 24 01:32:24 CET 2026","passed","Tue Mar 24 01:32:37 CET 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","24020","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Tue Mar 24 01:32:30 CET 2026","failed","Tue Mar 24 01:32:54 CET 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","13646","should successfully login with valid credentials @smoke @regression","Chromium","Tue Mar 24 01:31:53 CET 2026","passed","Tue Mar 24 01:32:06 CET 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","8446","should search for a non-existent tag and verify no results @regression","Chromium","Tue Mar 24 01:32:15 CET 2026","passed","Tue Mar 24 01:32:24 CET 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
