"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11064","should search for a non-existent tag and verify no results @regression","Chromium","Mon Jul 27 22:28:46 CEST 2026","passed","Mon Jul 27 22:28:57 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","30418","should select Euskera language on the /login screen and display content properly @regression","Chromium","Mon Jul 27 22:33:11 CEST 2026","broken","Mon Jul 27 22:33:41 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","15982","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Mon Jul 27 22:28:29 CEST 2026","passed","Mon Jul 27 22:28:45 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","23749","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Mon Jul 27 22:28:29 CEST 2026","passed","Mon Jul 27 22:28:53 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","15537","should display error with empty username @regression","Chromium","Mon Jul 27 22:28:53 CEST 2026","passed","Mon Jul 27 22:29:08 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","8087","should have all required appointment access elements visible @smoke","Chromium","Mon Jul 27 22:30:23 CEST 2026","failed","Mon Jul 27 22:30:31 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","30378","should search for a non-existent user and verify no results @regression","Chromium","Mon Jul 27 22:29:19 CEST 2026","broken","Mon Jul 27 22:29:49 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","27516","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Mon Jul 27 22:28:54 CEST 2026","passed","Mon Jul 27 22:29:21 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","30418","should select English language on the /login screen and display content properly @regression","Chromium","Mon Jul 27 22:33:43 CEST 2026","broken","Mon Jul 27 22:34:13 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","30480","should search for a non-existent institution and verify no results @regression","Chromium","Mon Jul 27 22:29:07 CEST 2026","broken","Mon Jul 27 22:29:37 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30513","should display error with empty password @regression","Chromium","Mon Jul 27 22:29:08 CEST 2026","broken","Mon Jul 27 22:29:39 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","30415","should toggle password visibility @regression","Chromium","Mon Jul 27 22:31:04 CEST 2026","broken","Mon Jul 27 22:31:35 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","30598","should create and delete a template, then verify it no longer appears @regression","Chromium","Mon Jul 27 22:29:05 CEST 2026","broken","Mon Jul 27 22:29:36 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","30489","should select Galego language on the /login screen and display content properly @regression","Chromium","Mon Jul 27 22:32:39 CEST 2026","broken","Mon Jul 27 22:33:10 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
