"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5710","should display error with empty password @regression","Chromium","Thu Aug 06 01:29:46 CEST 2026","passed","Thu Aug 06 01:29:52 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","13443","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Thu Aug 06 01:29:55 CEST 2026","passed","Thu Aug 06 01:30:09 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","3179","should select Galego language on the /login screen and display content properly @regression","Chromium","Thu Aug 06 01:30:32 CEST 2026","passed","Thu Aug 06 01:30:35 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","21742","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:37 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","2931","should select English language on the /login screen and display content properly @regression","Chromium","Thu Aug 06 01:30:39 CEST 2026","passed","Thu Aug 06 01:30:42 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","19885","should display error with invalid credentials @regression","Chromium","Thu Aug 06 01:29:52 CEST 2026","failed","Thu Aug 06 01:30:12 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","3183","should select Català language on the /login screen and display content properly @regression","Chromium","Thu Aug 06 01:30:29 CEST 2026","passed","Thu Aug 06 01:30:32 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","12707","should create and delete an institution, then verify it no longer appears @regression","Chromium","Thu Aug 06 01:29:49 CEST 2026","passed","Thu Aug 06 01:30:01 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","20713","should search for a non-existent institution and verify no results @regression","Chromium","Thu Aug 06 01:29:28 CEST 2026","passed","Thu Aug 06 01:29:49 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","14033","Verify user cannot send message to support without populating Surname field @XR-3087 @smoke @regression","Chromium","Thu Aug 06 01:29:21 CEST 2026","passed","Thu Aug 06 01:29:35 CEST 2026","Send Message to Support - Validation","tests\support\sendMessageToSupport.spec.ts","",""
"","1284","should have all required login elements visible @smoke","Chromium","Thu Aug 06 01:30:13 CEST 2026","passed","Thu Aug 06 01:30:14 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","6951","should successfully login with valid credentials @smoke @regression","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:23 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","10345","should create a user, search by name, and verify result @regression","Chromium","Thu Aug 06 01:30:16 CEST 2026","passed","Thu Aug 06 01:30:26 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","15138","should create a tag, edit its value, and verify the update @regression","Chromium","Thu Aug 06 01:29:43 CEST 2026","passed","Thu Aug 06 01:29:58 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","3296","should select Español language on the /login screen and display content properly @XR-3038","Chromium","Thu Aug 06 01:30:25 CEST 2026","passed","Thu Aug 06 01:30:29 CEST 2026","LoginPage - Language Selection Tests","tests\loginTests.spec.ts","",""
"","14464","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:30 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","12070","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:28 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","3618","should load home page after successful login @smoke","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:19 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","7498","should show validation errors when submitting empty user form @regression","Chromium","Thu Aug 06 01:30:26 CEST 2026","passed","Thu Aug 06 01:30:34 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","20415","should create a new template and verify it appears in the list @smoke @regression","Chromium","Thu Aug 06 01:29:16 CEST 2026","passed","Thu Aug 06 01:29:36 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","2815","should have all required appointment access elements visible @smoke","Chromium","Thu Aug 06 01:30:17 CEST 2026","passed","Thu Aug 06 01:30:20 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
