"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7633","should display profile icon on home page @smoke @regression","Chromium","Tue May 19 01:34:15 CEST 2026","passed","Tue May 19 01:34:23 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","8415","should have all required appointment access elements visible @smoke","Chromium","Tue May 19 01:34:44 CEST 2026","failed","Tue May 19 01:34:52 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","6711","should display error with empty credentials @regression","Chromium","Tue May 19 01:34:11 CEST 2026","passed","Tue May 19 01:34:17 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","3892","should display error with empty password @regression","Chromium","Tue May 19 01:34:23 CEST 2026","passed","Tue May 19 01:34:27 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","26754","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","failed","Tue May 19 01:34:30 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","19982","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","passed","Tue May 19 01:34:23 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","6987","should successfully login with valid credentials @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","passed","Tue May 19 01:34:10 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
"","30450","should create and delete an institution, then verify it no longer appears @regression","Chromium","Tue May 19 01:35:06 CEST 2026","broken","Tue May 19 01:35:36 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30394","should edit an existing user name and verify the change @regression","Chromium","Tue May 19 01:36:41 CEST 2026","broken","Tue May 19 01:37:11 CEST 2026","Users - Edit User Tests","tests\users\usersTests.spec.ts","",""
"","11709","should load home page after successful login @smoke","Chromium","Tue May 19 01:34:03 CEST 2026","passed","Tue May 19 01:34:15 CEST 2026","HomePage - Navigation Tests","tests\homePageTests.spec.ts","",""
"","30385","should show validation errors when submitting empty user form @regression","Chromium","Tue May 19 01:36:09 CEST 2026","broken","Tue May 19 01:36:39 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","13736","should create a new tag and verify it appears in the list @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","passed","Tue May 19 01:34:17 CEST 2026","Templates - Tags Tests","tests\templates\tagsTests.spec.ts","",""
"","30421","should create a user, search by name, and verify result @regression","Chromium","Tue May 19 01:35:37 CEST 2026","broken","Tue May 19 01:36:08 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","30480","should create and delete a template, then verify it no longer appears @regression","Chromium","Tue May 19 01:34:33 CEST 2026","broken","Tue May 19 01:35:03 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","30477","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Tue May 19 01:34:34 CEST 2026","broken","Tue May 19 01:35:04 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","30454","should search for a non-existent user and verify no results @regression","Chromium","Tue May 19 01:35:06 CEST 2026","broken","Tue May 19 01:35:36 CEST 2026","Users - Search Tests","tests\users\usersTests.spec.ts","",""
"","30428","should toggle password visibility @regression","Chromium","Tue May 19 01:35:25 CEST 2026","broken","Tue May 19 01:35:56 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","4944","should display error with invalid credentials @regression","Chromium","Tue May 19 01:34:27 CEST 2026","passed","Tue May 19 01:34:32 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","26360","should add a new user with English language and verify it appears in the list @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","failed","Tue May 19 01:34:30 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","19809","should create a new template and verify it appears in the list @smoke @regression","Chromium","Tue May 19 01:34:03 CEST 2026","passed","Tue May 19 01:34:23 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","30461","should search for a non-existent institution and verify no results @regression","Chromium","Tue May 19 01:34:34 CEST 2026","broken","Tue May 19 01:35:04 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","5748","should display error with empty username @regression","Chromium","Tue May 19 01:34:17 CEST 2026","passed","Tue May 19 01:34:23 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","6039","should have accessible profile dropdown @regression","Chromium","Tue May 19 01:34:23 CEST 2026","passed","Tue May 19 01:34:29 CEST 2026","HomePage - User Profile Tests","tests\homePageTests.spec.ts","",""
"","2730","should have all required login elements visible @smoke","Chromium","Tue May 19 01:34:32 CEST 2026","passed","Tue May 19 01:34:35 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","7631","should verify footer links are present @regression","Chromium","Tue May 19 01:34:35 CEST 2026","failed","Tue May 19 01:34:42 CEST 2026","LoginPage - UI Tests","tests\loginTests.spec.ts","",""
"","22133","should download the uploaded document and verify in File Manager @smoke @regression","Chromium","Tue May 19 01:34:24 CEST 2026","passed","Tue May 19 01:34:46 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","14855","should create a tag, edit its value, and verify the update @regression","Chromium","Tue May 19 01:34:26 CEST 2026","passed","Tue May 19 01:34:41 CEST 2026","Templates - Tags Edit Tests","tests\templates\tagsTests.spec.ts","",""
"","30405","should navigate to password recovery page @regression","Chromium","Tue May 19 01:34:54 CEST 2026","broken","Tue May 19 01:35:24 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","9120","should search for a non-existent template and verify no results @regression","Chromium","Tue May 19 01:34:23 CEST 2026","passed","Tue May 19 01:34:33 CEST 2026","Templates - Search Tests","tests\templates\templatesTests.spec.ts","",""
"","8664","should search for a non-existent tag and verify no results @regression","Chromium","Tue May 19 01:34:17 CEST 2026","passed","Tue May 19 01:34:26 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
