"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8168","should search for a non-existent institution and verify no results @regression","Chromium","Fri Apr 03 01:32:08 CEST 2026","passed","Fri Apr 03 01:32:16 CEST 2026","Institutions - Search Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30422","should create and delete an institution, then verify it no longer appears @regression","Chromium","Fri Apr 03 01:32:16 CEST 2026","broken","Fri Apr 03 01:32:46 CEST 2026","Institutions - Full Lifecycle Tests","tests\institutions\institutionsTests.spec.ts","",""
"","30400","should show validation errors when submitting empty user form @regression","Chromium","Fri Apr 03 01:33:51 CEST 2026","broken","Fri Apr 03 01:34:22 CEST 2026","Users - Validation Tests","tests\users\usersTests.spec.ts","",""
"","30413","should create and delete a template, then verify it no longer appears @regression","Chromium","Fri Apr 03 01:32:15 CEST 2026","broken","Fri Apr 03 01:32:46 CEST 2026","Templates - Full Lifecycle Tests","tests\templates\templatesTests.spec.ts","",""
"","10363","should search for a non-existent tag and verify no results @regression","Chromium","Fri Apr 03 01:32:04 CEST 2026","passed","Fri Apr 03 01:32:14 CEST 2026","Templates - Tags Search Tests","tests\templates\tagsTests.spec.ts","",""
"","7203","should display error with empty username @regression","Chromium","Fri Apr 03 01:32:02 CEST 2026","passed","Fri Apr 03 01:32:09 CEST 2026","LoginPage - Validation Tests","tests\loginTests.spec.ts","",""
"","30412","should navigate to password recovery page @regression","Chromium","Fri Apr 03 01:33:05 CEST 2026","broken","Fri Apr 03 01:33:36 CEST 2026","LoginPage - Password Recovery Tests","tests\loginTests.spec.ts","",""
"","30402","should add a new user with Spanish language and verify it appears in the list @regression","Chromium","Fri Apr 03 01:32:17 CEST 2026","broken","Fri Apr 03 01:32:48 CEST 2026","Users - Add User Tests","tests\users\usersTests.spec.ts","",""
"","30359","should toggle password visibility @regression","Chromium","Fri Apr 03 01:33:37 CEST 2026","broken","Fri Apr 03 01:34:07 CEST 2026","LoginPage - Password Visibility Tests","tests\loginTests.spec.ts","",""
"","15946","should upload a new document and verify it appears in the list @smoke @regression","Chromium","Fri Apr 03 01:31:48 CEST 2026","passed","Fri Apr 03 01:32:04 CEST 2026","Documentation - Upload and Download Document Tests","tests\documentation\documentationTests.spec.ts","",""
"","13912","should create a new template and verify it appears in the list @smoke @regression","Chromium","Fri Apr 03 01:31:48 CEST 2026","passed","Fri Apr 03 01:32:02 CEST 2026","Templates - Create Template Tests","tests\templates\templatesTests.spec.ts","",""
"","19802","should create a new institution and verify it appears in the list @smoke @regression","Chromium","Fri Apr 03 01:31:48 CEST 2026","passed","Fri Apr 03 01:32:07 CEST 2026","Institutions - Create Institution Tests","tests\institutions\institutionsTests.spec.ts","",""
"","6507","should successfully login with valid credentials @smoke @regression","Chromium","Fri Apr 03 01:31:48 CEST 2026","passed","Fri Apr 03 01:31:54 CEST 2026","LoginPage - Authentication Tests","tests\loginTests.spec.ts","",""
